"Gene","CEBPG"
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.2106
"AMHR2",0
"AMIGO1",0
"AMIGO2",0.5168
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.8643
"AMOT",0.0707
"AMOTL1",0
"AMOTL2",-0.2471
"AMPD1",0
"AMPD2",0
"AMPD3",6.1967
"AMPD3",2.0763
"AMPH",0
"AMPK gamma2",0
"AMT",-0.2875
"AMT",-0.191
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",0.1542
"AMZ2",0
"A0.0PC1",-0.1483
"A0.0PC10",0
"A0.0PC11",-0.1548
"A0.0PC13",0.1617
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.0477
"A0.0PC5",1.1641
"A0.0PC7",-0.5242
"A0.0PC7",-0.9355
"ANG",0.8116
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",-3.1781
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",0.3852
"ANK3",0.0529
"ANKAR",0
"ANKDD1A",-0.0145
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",-0.3765
"ANKH",0.0065
"ANKHD1",-0.0262
"ANKHD1",1.9587
"ANKHD1",-1.8992
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",-0.1275
"ANKRA2",0
"ANKRD1",0.1722
"ANKRD10",0.254
"ANKRD10",-0.28
"ANKRD11",0
"ANKRD12",0.0478
"ANKRD12",0.2666
"ANKRD13A",0.625
"ANKRD13A",0.1662
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",-0.3764
"ANKRD15",0.5308
"ANKRD16",0
"ANKRD17",-0.1976
"ANKRD17",-0.5359
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",-1.3128
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.3199
"ANKRD28",0.2075
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.1953
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.19
"ANKRD42",0
"ANKRD43",-0.416
"ANKRD43",0.1589
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.4916
"ANKRD47",-0.1978
"ANKRD49",0.0821
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",1.432
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",3.0458
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",-0.8652
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0.2322
"ANTXR2",-1.8988
"ANX14",0
"ANX3",0
"ANXA1",-0.3219
"ANXA10",0
"ANXA11",0.2914
"ANXA11",-0.298
"ANXA13",0
"ANXA2",0
"ANXA2P1",-0.2126
"ANXA2P2",0
"ANXA2R",0
"ANXA3",-0.1804
"ANXA4",0.0636
"ANXA5",0.0493
"ANXA6",0
"ANXA7",0
"ANXA8",-0.1571
"ANXA8L1",0
"ANXA9",2.6335
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.5432
"AOF1",-0.3959
"AOF2",-1.5087
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
