"Gene","PBX1"
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",0.0349
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",-1.8358
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",-0.0549
"ANTXR2",-1.7911
"ANX14",0
"ANX3",0
"ANXA1",-0.1557
"ANXA10",0
"ANXA11",-0.0703
"ANXA11",0.1702
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.1307
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.1843
"ANXA4",0.0504
"ANXA5",0.0586
"ANXA6",0
"ANXA7",0
"ANXA8",-0.0502
"ANXA8L1",0
"ANXA9",0.0342
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.1681
"AOF1",-0.1714
"AOF2",-1.1853
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.1154
"AP1M1",2.2724
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",0.1314
"AP3B1",0
"AP3B2",0
"AP3D1",-0.2743
"AP3D1",5.5882
"AP3M1",0
"AP3M2",-0.4711
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",-0.0872
"AP4E1",0
"AP4M1",-0.2516
"AP4S1",0.1142
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.8358
"APBA2",-0.5849
"APBA3",0
"APBB1",-0.183
"APBB1",-1.0106
"APBB1IP",0
"APBB2",-0.3104
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",1.3818
"APCDD1L",0
"APCS",0
"APE",0
"APEH",0.72
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",0.3788
"APLN",-1.1334
"APLN",3.6613
"APLNR",0
"APLP1",0
"APLP2",0.8238
"APLP2",-0.2197
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0.1592
"APOA2",0
