"","Gene","KLF","ZNF","ACTL","GRHL","MLL2","SNAI2_Over","SNAI2_Knockdown","DMNT1","CBX4_Over","CBX4_Knockdown","MAFB1","MPZL3","FDXR","TINCR"
"9949","FZD4",0.029685118,0.050825816,0.013455709543662,NA,NA,-0.00300504177146099,-0.151758287509736,-0.0400068113729774,NA,NA,-0.0290591518212982,5.03101,0.074478,-0.018330189853363
"9950","FZD5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40536,3.88504,NA
"9951","FZD6",NA,NA,NA,0.126719297628271,0.164525441910704,NA,NA,NA,NA,NA,NA,0.4817173,3.29605462,NA
"9952","FZD7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59035,1.934675,NA
"9953","FZD8",-0.340849553,-0.009497596,-0.087024811259108,NA,NA,-1.2713974269251,0.191018636676926,-0.0938050417352781,NA,NA,0.0660886188415867,3.14327,0.338241,-0.268064507078155
"9954","FZD9",-0.069939303,-0.021712949,-0.06040912779556,-0.0194468593218017,-0.199254027918819,-0.802950338662347,-0.376877157289145,0.381563175917144,NA,NA,0.0489930209223718,0.438354,0.283467,-0.0636149483424081
"9955","fzo",0.007035147,0.008527506,0.00633130287059221,NA,NA,-0.727397765969698,-0.122729764687935,0.444169443620423,NA,NA,0.0680218798515337,NA,NA,0.0287303053141836
"9956","FZR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373167,0.000387443,NA
"9957","fzr2",0.006849061,0.002523425,0.00300297057537257,NA,NA,-0.826290647455586,-0.076528478775126,-0.239829638564541,NA,NA,-0.0331904086528576,NA,NA,0.0892007793419071
"9958","G0S2",-0.135603582,-0.005763229,-0.102660249353022,NA,NA,0.699728518953103,0.919393189241624,0.325025283352727,-2.361169291,2.991320178,-0.150171238385804,8.94468,5.7075,0.0521957883445686
"9959","G16",0.042379964,0.013390969,-0.00759453776584991,NA,NA,-0.579284083904146,0.187566530893817,0.0402352384048953,NA,NA,0.0613609779994498,NA,NA,0.173632722717094
"9960","G22P1",0.130648621,0.124098994,0.0115575988344832,NA,NA,-0.469644113000229,-0.0246860882060286,-0.530747967205216,NA,NA,-0.0363692028620561,NA,NA,0.0350160938855588
"9961","G2A",0.00487568,-0.000888302,0.0108326921187863,NA,NA,-1.07980683524714,0.316505897437811,0.0173250614291757,NA,NA,-0.0274373243925726,NA,NA,-0.125355001489826
"9962","G2E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567666,1.240395,NA
"9963","G3BP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882048,21.7707,NA
"9964","G3BP2",NA,NA,NA,NA,NA,NA,NA,NA,1.751466436,NA,NA,0.00443541,8.7920794,NA
"9965","G5B",0.402035537,0.191691745,0.0426015422609858,NA,NA,-0.939161532502327,0.00396293952857946,-0.628717915200183,NA,NA,0.0295183111860226,NA,NA,0.248452453111044
"9966","G5C",-0.257579644,-0.215066638,0.211694241803187,NA,NA,-0.395300403409884,0.0738992956456597,-0.181928966735609,NA,NA,0.0448786977440148,NA,NA,-0.199219548036224
"9967","G6B",0.203076663,0.234084934,0.0360369241709731,NA,NA,-0.802240560559917,-0.0800883908424944,0.0110859664265342,NA,NA,-0.00140560926972953,NA,NA,0.2863940685936
"9968","G6C",0.095686506,0.106174203,-0.0522925615452395,NA,NA,-1.02692823205264,-0.704643538508661,1.28628407181486,NA,NA,0.117816064791108,NA,NA,1.0406838018067
"9969","G6E",0.140656601,0.091886151,0.0973669675744657,NA,NA,-0.879230441142267,-0.182514624156061,0.233566333663163,NA,NA,-0.177544531551396,NA,NA,-0.14391484763964
"9970","G6PC",0.197986688,0.264441952,-0.105846758175572,NA,NA,-0.29841798584698,-1.0922891891116,0.0977768897454986,NA,NA,-0.0109400705111835,0.00353571,0,0.0811208420234721
"9971","G6PC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0388069,0,NA
"9972","G6PC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3824,7.51795,NA
"9973","G6PD",NA,NA,NA,0.151972015694762,0.482661513487871,NA,NA,NA,1.602470526,NA,NA,54.5474,13.3395,NA
"9974","G7C",0.058316856,0.064639214,0.008855699908117,NA,NA,-0.776425775659889,-0.0535875734270443,-0.00202123000477224,NA,NA,-0.0164770721866486,NA,NA,0.0137660742132745
"9975","G8",0.0048829795,-0.02789278,0.00198593017498647,NA,NA,-0.539686589512411,-0.101295073882143,0.61475570875754,NA,NA,-0.0557845195901722,NA,NA,0.0328585731262997
"9976","G8",0.0048829795,-0.02789278,0.00198593017498647,NA,NA,-0.539686589512411,-0.101295073882143,0.61475570875754,NA,NA,-0.0557845195901722,NA,NA,-0.269788589389042
"9977","GAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5483,19.3461,NA
"9978","GAB1",0.019083632,0.024521478,-0.000912015247036083,NA,NA,-0.457805364195167,-0.154752248157774,0.681020909686739,1.58907223825,NA,0.146733560140382,1.54389,3.255365,0.238738818834346
"9979","GAB2",NA,NA,NA,NA,NA,NA,NA,NA,2.67915026,NA,NA,0.00606381,0.93708625,NA
"9980","GAB3",NA,NA,NA,-0.0591418614420339,-0.0553100467756359,NA,NA,NA,NA,NA,NA,0.511335,0,NA
"9981","GAB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332876,0,NA
"9982","GABAA receptor gamma 3 subunit",-0.081751617,-0.004803626,0.161180344859547,NA,NA,-1.07007000942577,-0.367232866540511,-0.0412170122283516,NA,NA,-0.0720179619067712,NA,NA,-0.0337123835055475
"9983","GABARAP",NA,NA,NA,NA,NA,NA,NA,NA,1.5661789055,NA,NA,789.529,120.24485,NA
"9984","GABARAPL1",0.030917933,-0.011296469,0.00585979968093552,NA,NA,-1.51834383443988,0.73139413220121,-0.2036505929281,6.32058737575,1.6441723015,0.269222036074761,13.052,5.8132,0.364820568160883
"9985","GABARAPL2",NA,NA,NA,NA,NA,NA,NA,NA,1.6222375595,NA,NA,34.3257,29.5486,NA
"9986","GABARAPL3",NA,NA,NA,NA,NA,NA,NA,NA,5.378292903,NA,NA,NA,NA,NA
