"Gene","RELB"
"CD63",-0.191533431
"CD69",-0.036970559
"CD70",0.361586368
"CD74",0.066461078
"CD80",0.089732612
"CD82",-0.622795193
"CD86",-3.324427053
"CD99",-0.218310608
"CD99L2",0.242421174
"CDADC1",-0.12505649
"CDC16",-0.188477144
"CDC23",-2.487840491
"CDC25A",-0.411721697
"CDC2L1",-0.040785361
"CDC2L2",0.155957159
"CDC34",-0.739415523
"CDC37",-0.153635309
"CDC42BPG",0.04781526
"CDC42EP1",0.569768253
"CDC42EP2",1.748069506
"CDC42EP3",-0.146434104
"CDC42EP5",-0.4150422
"CDC42SE1",-0.445045142
"CDC45L",-0.393980357
"CDC5L",0.052511131
"CDC6",-0.510073902
"CDC7",0.457096726
"CDCA2",-0.041179547
"CDCA3",0.433871009
"CDCA4",-0.668468304
"CDCA5",-0.250701132
"CDCA7",-0.523952507
"CDCA7L",-1.519961153
"CDCA8",-0.057932811
"CDCP1",-0.389165296
"CDH1",0.12958718
"CDH11",0.464422969
"CDH13",0.414757814
"CDH15",0.067797507
"CDH22",-0.093755472
"CDK2",-0.276463582
"CDK2AP1",0.205354289
"CDK2AP2",0.262738264
"CDK5R1",-0.399759934
"CDK5R2",-0.527784857
"CDK5RAP1",2.591735961
"CDK5RAP3",-0.064318678
"CDK7",-0.024553368
"CDK8",-0.307291855
"CDK9",-0.067634398
"CDKN1B",-1.120190029
"CDKN1C",0.259369313
"CDKN2A",1.144558807
"CDKN2B",-2.428345867
"CDRT1",0.241990721
"CDRT15",0.313609538
"CDSN",0.329322604
"CDV3",0.608587353
"CDX1",0.418043946
"CDX2",0.382338972
"CDX4",0.135427684
"CDYL",-1.04682062
"CDYL2",-0.003525814
"CEACAM19",0.078117863
"CEACAM4",-0.509182966
"CEBPA",-3.393599803
"CEBPB",-0.795785765
"CEBPD",-0.113112784
"CEBPE",-0.493147977
"CEBPG",0.067078239
"CEBPZ",0.06750281
"CELSR2",0.125032721
"CEND1",-0.001426261
"CENPA",-1.059535738
"CENPB",0.508666177
"CENPE",1.176558717
"CENPF",0.088544518
"CENPI",-0.245078565
"CENPJ",-2.291414277
"CENPK",-1.205821101
"CENPN",0.105950929
"CENPO",-0.023940313
"CENPQ",-0.146105426
"CENPT",-0.255010649
"CENTA1",-0.071802289
"CENTA2",0.604033012
"CENTB5",-0.407512531
"CEP152",-0.130426133
"CEP250",0.407859072
"CEP55",-0.054390274
"CEP68",0.09575039
"CEP72",0.261923174
"CERK",-0.026850414
"CES2",-1.370770174
"CFDP1",-1.799946759
"CFHR2",0.012472487
"CFL1",-0.065400087
"CFL2",0.058977608
"CFLAR",0.334181106
"CFTR",-0.029159958
"CG018",-0.092305634
"CGGBP1",-0.104815372
"CGN",0.54889749
"CHAC1",-0.026801994
"CHAF1A",-1.195598149
"CHAF1B",-0.934529416
"CHCHD8",-0.330909385
"CHD1",-0.296106665
"CHD2",-0.028036853
"CHD3",0.073346085
"CHD4",0.144560428
"CHD5",0.34547504
"CHD6",0.34688894
"CHD7",0.342589978
"CHD8",0.017691899
"CHD9",0.345265555
"CHEK1",-0.382414208
"CHERP",-0.283247001
"CHES1",-0.109470782
"CHI3L2",-0.029688381
"CHIC2",-0.432291138
"CHML",-1.010214812
"CHMP1B",1.396043581
"CHMP2A",-0.069391303
"CHMP2B",1.666948783
"CHMP5",0.103028862
"CHODL",-0.333321276
"CHORDC1",-3.142295203
"CHRD",-0.218803666
"CHRM1",-0.368190745
"CHRNA1",0.13448241
"CHRNA3",0.005241048
"CHRNA4",0.018450187
"CHRNA5",-0.608203563
"CHRNB2",0.042117723
"CHRNB4",0.214305969
"CHST10",0.189839454
