"Gene","FOS"
"ANXA2P1",-0.0018
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.1161
"ANXA4",-0.095
"ANXA5",-0.0905
"ANXA6",0
"ANXA7",0
"ANXA8",-0.064
"ANXA8L1",0
"ANXA9",0.5658
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",0.0305
"AOF1",0.1282
"AOF2",0.1983
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.0572
"AP1M1",2.2811
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",0.2176
"AP3B1",0
"AP3B2",0
"AP3D1",0.1457
"AP3D1",2.9862
"AP3M1",0
"AP3M2",-0.0279
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",0.0171
"AP4E1",0
"AP4M1",-0.1512
"AP4S1",0.2485
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.201
"APBA2",-0.2744
"APBA3",0
"APBB1",0.212
"APBB1",-0.494
"APBB1IP",0
"APBB2",-0.9173
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",0.439
"APCDD1L",0
"APCS",0
"APE",0
"APEH",-0.0319
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",0.2044
"APLN",0.0679
"APLN",2.8352
"APLNR",0
"APLP1",0
"APLP2",-0.0242
"APLP2",-0.2051
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0.1456
"APOA2",0
"APOA4",0.1159
"APOA4",0.522
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",0.3695
"APOBEC3A_B",0
"APOBEC3B",-0.053
"APOBEC3C",-0.129
"APOBEC3D",0
"APOBEC3F",-0.0132
"APOBEC3G",0.7248
"APOBEC3H",0
"APOBEC4",0
"APOC1",0.7254
"APOC1",0.5481
"APOC3",0.03
"APOC4",1.004
"APOD",0
"APOE",-2.2624
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.3129
"APOL6",0.4085
"APOL6",0.6143
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",1.2271
"APPBP2",0.2052
"APPBP2",-0.0446
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",0.5179
"AQP2",-0.0318
"AQP2",-0.2407
"AQP3",0.1108
"AQP3",0.26
"AQP4",0
"AQP5",0
"AQP6",0.5012
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",1.001
"AQR",0
"AR",0.7197
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",0.0335
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",0.0064
"ARF5",0
"ARF6",-0.0234
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",-1.0395
"ARFGEF2",5e-04
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
"ARGFX",0
"ARGLU1",0
"ARHGAP1",0
"ARHGAP10",0
"ARHGAP11A",-0.3077
"ARHGAP11A",-1.1385
