"Gene","FOSB"
"APITD1",0
"APLF",0
"APLN",0.5057
"APLN",0.6416
"APLN",3.0412
"APLNR",0
"APLP1",0
"APLP2",0.8017
"APLP2",-0.2845
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0.0054
"APOA2",0
"APOA4",0.3787
"APOA4",0.9016
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",0.3017
"APOBEC3A_B",0
"APOBEC3B",0.465
"APOBEC3C",-0.1344
"APOBEC3D",0
"APOBEC3F",0.0421
"APOBEC3G",0.8343
"APOBEC3H",0
"APOBEC4",0
"APOC1",0.7635
"APOC1",0.6944
"APOC3",0.244
"APOC4",1.5632
"APOD",0
"APOE",-2.2914
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.3417
"APOL6",0.7704
"APOL6",0.3376
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",1.529
"APPBP2",0.162
"APPBP2",-0.6368
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",0.812
"AQP2",0.1262
"AQP2",-0.5146
"AQP3",0.097
"AQP3",0.0978
"AQP4",0
"AQP5",0
"AQP6",0.6473
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",0.6941
"AQR",0
"AR",1.1471
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",0.1071
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",0.2222
"ARF5",0
"ARF6",1.0746
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",0.5595
"ARFGEF2",0.0312
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
"ARGFX",0
"ARGLU1",0
"ARHGAP1",0
"ARHGAP10",0
"ARHGAP11A",-0.1554
"ARHGAP11A",-1.0857
"ARHGAP11A",0.2205
"ARHGAP11B",0
